This is the progress list of Cosmos | Updated on: 2019-04-28


ARTIFICIAL INTELLIGENCE                                                        Ada                           BrainFuck                                   C                                 C++                             Clojure                               Crisp                              Elixir                                 Elm                              Erlang                             Fortran                              Golang                                HTML                             Haskell                                Java                          JavaScript                               Julia                    Jupyter Notebook                              Kotlin                                 Lua                                  ML                                 Nim                         Objective-C                                 PHP                                Perl  Processing Development Environment                          PureScript                              Python                              Racket                              Reason                                Ruby                                Rust                               Scala                        Shell Script                         Standard ML                               Swift                          TypeScript                        Visual Basic                           Visual C#                           Visual F#  
fast inverse sqrt                                                                .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
fermat primality test                                                            .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
fermats little theorem                                                           .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
fibonacci number                                                                 .                                   .                                   x                                   x                                   x                                   .                                   x                                   .                                   x                                   .                                   x                                   .                                   x                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   x                                   .                                   .                                   x                                   x                                   x                                   .                                   .                                   x                                   .                                   .                                   x                                   .  
fractals                                                                         .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
gaussian elimination                                                             .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
gcd and lcm                                                                      .                                   .                                   x                                   x                                   .                                   .                                   x                                   .                                   x                                   .                                   x                                   .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   x                                   .  
greatest digit in number                                                         .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   x                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .  
hill climbing                                                                    .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
horner polynomial evaluation                                                     .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
integer conversion                                                               .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
integer to roman                                                                 .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
jacobi method                                                                    .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
karatsuba multiplication                                                         .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
largrange polynomial                                                             .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
lexicographic string rank                                                        .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
log of factorial                                                                 .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
lucas theorem                                                                    .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
lucky number                                                                     .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
magic square                                                                     .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
miller rabin primality test                                                      .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
modular inverse                                                                  .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
multiply polynomial                                                              .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
newman conway                                                                    .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
newton polynomial                                                                .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
newton raphson method                                                            .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
next larger number                                                               .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
pandigital number                                                                .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
pascal triangle                                                                  .                                   .                                   x                                   x                                   .                                   .                                   x                                   .                                   .                                   .                                   x                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
perfect number                                                                   .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   x                                   .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
permutation lexicographic order                                                  .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
